Kizumonogatari III: Reiketsu-hen,"
        Movie (1 eps)
        Jan 2017 - Jan 2017
        337,920 members
      ",8.81,https://cdn.myanimelist.net/r/50x70/images/anime/8/82911.jpg?s=6f538e59906821d20b400cfd39d46f56
Sen to Chihiro no Kamikakushi,"
        Movie (1 eps)
        Jul 2001 - Jul 2001
        1,359,199 members
      ",8.81,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927
Gintama: The Final,"
        Movie (1 eps)
        Jan 2021 - Jan 2021
        41,659 members
      ",8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1027/109706.jpg?s=29712c4254f5acc66580a2107fe6643d
Jujutsu Kaisen (TV),"
        TV (24 eps)
        Oct 2020 - Mar 2021
        1,134,824 members
      ",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"
        Movie (1 eps)
        Oct 2020 - Oct 2020
        547,150 members
      ",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/1704/106947.jpg?s=685b7fa652f5b3df29bd20fc2c8cb32e
Monogatari Series: Second Season,"
        TV (26 eps)
        Jul 2013 - Dec 2013
        538,628 members
      ",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/3/52133.jpg?s=b22811f98b26399cd65787af1447848c
Monster,"
        TV (74 eps)
        Apr 2004 - Sep 2005
        679,652 members
      ",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/10/18793.jpg?s=08c4f10a101c3835eeb14ca0715512bd
Cowboy Bebop,"
        TV (26 eps)
        Apr 1998 - Apr 1999
        1,350,149 members
      ",8.77,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"
        TV (12 eps)
        Jan 2017 - Mar 2017
        149,173 members
      ",8.77,https://cdn.myanimelist.net/r/50x70/images/anime/10/82947.jpg?s=9f1dd28adde3fea5a733d1cfd7be7ad6
Mushishi Zoku Shou 2nd Season,"
        TV (10 eps)
        Oct 2014 - Dec 2014
        210,276 members
      ",8.76,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba
Hajime no Ippo,"
        TV (75 eps)
        Oct 2000 - Mar 2002
        410,081 members
      ",8.74,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63
Made in Abyss,"
        TV (13 eps)
        Jul 2017 - Sep 2017
        941,748 members
      ",8.72,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"
        Movie (1 eps)
        Jan 2020 - Jan 2020
        243,903 members
      ",8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66
Mushishi Zoku Shou,"
        TV (10 eps)
        Apr 2014 - Jun 2014
        239,603 members
      ",8.72,https://cdn.myanimelist.net/r/50x70/images/anime/13/58533.jpg?s=ff40f900ea0877725ccde517b126c531
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"
        OVA (4 eps)
        Feb 1999 - Sep 1999
        235,496 members
      ",8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1807/102419.jpg?s=f66e01379baa6d60de8ce23f0fbf2fe1
Shigatsu wa Kimi no Uso,"
        TV (22 eps)
        Oct 2014 - Mar 2015
        1,604,757 members
      ",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/3/67177.jpg?s=bc267f764bffe825e1e8d60f7185a2e9
Vinland Saga,"
        TV (24 eps)
        Jul 2019 - Dec 2019
        786,345 members
      ",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b
Violet Evergarden Movie,"
        Movie (1 eps)
        Sep 2020 - Sep 2020
        239,852 members
      ",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171
Code Geass: Hangyaku no Lelouch,"
        TV (25 eps)
        Oct 2006 - Jul 2007
        1,706,728 members
      ",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/5/50331.jpg?s=afd09d7e5d76283418a1a22e7c122ca9
Great Teacher Onizuka,"
        TV (43 eps)
        Jun 1999 - Sep 2000
        625,766 members
      ",8.70,https://cdn.myanimelist.net/r/50x70/images/anime/13/11460.jpg?s=7e890b7e93b7b57c2de4aa90211931bd
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,"
        TV (12 eps)
        Apr 2020 - Jun 2020
        778,805 members
      ",8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f
Mononoke Hime,"
        Movie (1 eps)
        Jul 1997 - Jul 1997
        937,555 members
      ",8.70,https://cdn.myanimelist.net/r/50x70/images/anime/7/75919.jpg?s=0d877ed9aa60cc49fdb128a2f68386e2
Haikyuu!! Second Season,"
        TV (25 eps)
        Oct 2015 - Mar 2016
        991,633 members
      ",8.69,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a
Mushishi,"
        TV (26 eps)
        Oct 2005 - Jun 2006
        654,327 members
      ",8.69,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d
Ashita no Joe 2,"
        TV (47 eps)
        Oct 1980 - Aug 1981
        33,008 members
      ",8.67,https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2
Hajime no Ippo: New Challenger,"
        TV (26 eps)
        Jan 2009 - Jul 2009
        212,165 members
      ",8.66,https://cdn.myanimelist.net/r/50x70/images/anime/8/56617.jpg?s=4c8a3a8180c114c3771eb183e5318a0e
